"Nummer
Aantal met nr: 304
(eerst vrije nr: 375)";Type;Benodigde SGR/SuwiML elementen voor berekening;SuwiML bericht;Benodigde elementen over transactie voor berekening;;;;
20;AQ;"Als gebruiker wil ik van een PERSOON weten of hij op de aangeleverde peildatum GEHUWD is of de AFGELOPEN 2 JAAR GEHUWD GEWEEST is. Indien dit het geval is dan heeft hij een partner voor de bijstand en is het antwoord JA, anders NEE.
Indien dit niet het geval is dan wil ik weten of hij een GEZAMELIJKE HUISHOUDING VOERT of een KOSTENDELERS RELATIE heeft. Is dit het geval dan is het antwoord JA, anders heeft hij geen partner en is het antwoord NEE. 

Let op: Een KOSTENDELERS RELATIE heeft geen invloed op het recht op bijstand, wel op de hoogte van bijstand. (Inkomen KOSTENDELER is niet van belang)
Een medebewoner waarmee je een GEZAMELIJKE HUISHOUDING voert heeft invloed op het recht op bijstand en de hoogte van de bijstand. (Inkomen medebewoner GEZAMELIJKE HUISHOUDING is van belang).

""Huwelijk/geregistreerd partnerschap
* DatHuwelijkssluiting
* DatOntbindingHuwelijk

PARTNER""";BRPDossierPersoon-Sets;* Aangeleverde peildatum;;;;
21;BQ;PARTNER voor bijstand;Geen;"
* Aangeleverde peildatum";;;;
209;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv
* NaamAdministratieveEenheid";BRPDossierPersoon Sets & UWVDossierInkomsten;;;;;
210;AQ;;;;;;;
211;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrVakantietoeslag
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
212;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* BedrVakantietoeslag
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Periode voor berekening rekenregel;;;;
213;AQ;;;;;;;
214;AQ;;;;;;;
215;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrVergoedingReiskostenOnbelast";BRPDossierPersoonvraag & UWVDossierInkomsten;;;;;
216;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrVergoedingReiskostenOnbelast";BRPDossierPersoonvraag & UWVDossierInkomsten;;;;;
217;AQ;;;;;;;
218;AQ;;;;;;;
219;BQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
220;AQ;;;;;;;
221;BQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten
* BedrOverigeInkomstencomponent";Bijstandsregelingen;;;;;
222;AQ;;;;;;;
223;AQ;"PARTNER
UITKERINGSVERHOUDINGEN 
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding 

UITKERINGSPERIODE 
* DatBUitkeringsperiode 
* DatEUitkeringsperiode 

MAATREGEL MBT UITKERING
* DatBMaatregelMbtUitkering 
* DatEMaatregelMbtUitkering ";UWVDossierWerknemersverzekeringen;Bijstandsregelingen;;;;
224;AQ;;;;;;;
232;AQ; ;;;;;;
233;AQ;;;;;;;
234;AQ;;;;;;;
235;END2;;;;;;;
236;AQ;"PARTNER
UITKERINGSVERHOUDINGEN
*DatBUitkeringsverhouding
*DatEUitkeringsverhouding

UITKERINGSPERIODE
*DatBUitkeringsperiode
*DatEUitkeringsperiode

REDENMAATREGELMBTBIJSTANDUITK
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering

GEVOLGENMAATREGELMBTBIJSTANDUITK
*BedrVerminderingUitkmbtMaatregel";"Bijstandsregelingen
";Peildatum voor berekening rekenregel;;;;
237;AQ;"PARTNER
UITKERINGSVERHOUDINGEN
*DatBUitkeringsverhouding
*DatEUitkeringsverhouding

UITKERINGSPERIODE
*DatBUitkeringsperiode
*DatEUitkeringsperiode

REDENMAATREGELMBTBIJSTANDUITK
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering

REDENMAATREGELMBTUITKERINGUWV
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering";"Bijstandsregelingen
UWVdossierWerknemersverzekeringen";Peildatum voor berekening rekenregel;;;;
238;AQ;;;;;;;
239;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrExtraPrdSalaris
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
240;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrExtraPrdSalaris
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
241;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* BedrVakantietoeslag
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
242;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
243;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp
* CdSrtIkv
";UWVDossierInkomsten;;;;;
244;AQ;;;;;;;
245;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp
* CdSrtIkv
";UWVDossierInkomsten;;;;;
246;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrIngehoudenLbPremieVolksverz
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
247;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrVergoedingZvw
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
248;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp 
* IndLoonheffingskortingToegepast";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
249;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
*BedrBrutoloonSv
*BedrIngehoudenBijdrageZvW (200)
*BedrIngehoudenLoonLBPremieVolksverz (199)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr

";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
250;AQ;"PARTNER
UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding

SZ Wet
* CdSzWet";"SVBDossierPersoon 

";Peildatum voor berekening rekenregel;;;;
251;AQ;"PARTNER
UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding

SZ Wet
* CdSzWet

UITKERINGSPERIODE
* DatBUitkeringsperiode
* DatEUitkeringsperiode

BrutoUitkeringsbedr
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* CdMunteenheid
* WaardeBedr
* CdUitkeringsperiode
";"SVBDossierPersoon 

";Peildatum voor berekening rekenregel;;;;
;AQ;"PARTNER
UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding 

SZ Wet 
* CdSzWet 

UITKERINGSPERIODE 
* DatBUitkeringsperiode 
* DatEUitkeringsperiode 

Bruto Uitkeringsbedr 
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* CdMunteenheid
* WaardeBedr
* CdUitkeringsperiode";"SVBDossierPersoon 

BL: mogelijk ook in UWVDossierinkomsten of UWVDossierWerknemersverzekeringen";Peildatum voor berekening rekenregel;;;;
253;AQ;"PARTNER
INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
*BedrBrutoloonSv
*BedrIngehoudenBijdrageZvW (200)
*BedrIngehoudenLoonLBPremieVolksverz (199)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr

";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
254;BQ;;;;;;;
255;BQ;;;;;;;
256;AQ;;;;;;;
257;AQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten
* BedrOverigeInkomstencomponent";Bijstandsregelingen;;;;;
258;AQ;;Bijstandsregelingen;;;;;
259;AQ;Is niet vastgelegd in SuwiML berichten. Aan de burger vragen;;;;;;
260;BQ;"PARTNER
AANSPRAAK OP INKOMEN
* CdSrtAanspraakOpInkomen
* DatBAanspraakOpInkomen
* DatEAanspraakOpInkomen
";;Peildatum voor berekening rekenregel;;;;
261;BQ;;;;;;;
262;BQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
263;BQ;"PARTNER
OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
264;BQ;;Bijstandsregelingen;;;;;
265;BQ;;;;;;;
266;BQ;;;;;;;
267;BQ;;;;;;;
268;BQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
269;BQ;"PARTNER
OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
270;BQ;"PARTNER
OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
271;BQ;"PARTNER
OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
288;BQ;"PARTNER
OVERIGE INKOMSTEN
*CdSrtOverigeInkomsten
";Bijstandsregelingen;;;;;
289;BQ;"PARTNER
OVERIGE INKOMSTEN
*CdSrtOverigeInkomsten
* BedrTotaalOverigeInkomsten";;;;;;
290;BQ;;;;;;;
291;BQ;;;;;;;
292;BQ;;;;;;;
293;AQ;"PARTNER
RE-INTEGRATIE INZET
* DatBReIntegratieInzet
* DatEReIntegratieInzet";;;;;;
294;AQ;;;;;;;
295;END1;;;;;;;
296;AQ;"PARTNER
DEELNAME OPLEIDING GEREGISTREERD BIJ DUO
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding

";DUODossierPersoon;Peildatum voor berekening rekenregel;;;;
297;AQ;"PARTNER
STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
298;AQ;;;;;;;
299;AQ;;;;;;;
300;AQ;;;;;;;
301;AQ;;;;;;;
321;AQ;"PARTNER
ONROERENDE ZAAK
*Codetype onroerende zaak
 
";KadasterDossier;;;;;
322;BQ;;;;;;;
323;BQ;;;;;;;
324;AQ;;;;;;;
325;AQ;;;;;;;
326;BQ;;;;;;;
327;BQ;;;;;;;
328;AQ;"PARTNER
VOERTUIG
*DatumAanvangVoertuigverplichtingen
*DatumEindeVoertuigverplichtingen
";RDWDossier;;;;;
329;BQ;;;;;;;
330;BQ;;;;;;;
331;BQ;;;;;;;
332;BQ;;;;;;;
333;BQ;;;;;;;
334;BQ;;;;;;;
335;BQ;;;;;;;
336;BQ;;;;;;;
337;BQ;;;;;;;
338;END1;;;;;;;
339;AQ;;;;;;;
341;AQ;;;;;;;
360;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/SignificantDeelVanDeAchternaam";BRPDossierPersoon;;;;;
361;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Voorvoegsel";BRPDossierPersoon;;;;;
363;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Voornamen";BRPDossierPersoon;;;;;
362;AQ;;;;;;;
364;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Voorvoegsel";BRPDossierPersoon;;;;;
359;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr";BRPDossierPersoon;;;;;
365;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Geboortedat";BRPDossierPersoon;;;;;
366;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Nationaliteit/CdNationaliteit";BRPDossierPersoon;;;;;
367;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

Verblijfstitel
* CdVerblijfstitel
* DatBVerblijfstitel
* DatEVerblijfstitel";BRPDossierPersoon;;;;;
368;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr


ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
369;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
370;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
371;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
372;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
373;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
374;AQ;"Huwelijk
* DatHuwelijkssluiting
* DatOntbindingHuwelijk
* Partner/Burgerservicenr

ClientSuwi
* Domicilieadres";BRPDossierPersoon;;;;;
225;AQ;"ONROERENDE ZAAK
*Codetype onroerende zaak
 
";KadasterDossier;;;;;
226;BQ;;;;;;;
227;BQ;;;;;;;
228;AQ;;;;;;;
229;AQ;"VOERTUIG
*DatumAanvangVoertuigverplichtingen
*DatumEindeVoertuigverplichtingen
";RDWDossier;;;;;
230;BQ;;;;;;;
305;BQ;;;;;;;
306;AQ;;;;;;;
307;BQ;;;;;;;
308;BQ;;;;;;;
309;BQ;;;;;;;
310;BQ;;;;;;;
311;BQ;;;;;;;
312;BQ;;;;;;;
313;BQ;;;;;;;
314;BQ;;;;;;;
315;BQ;;;;;;;
316;END1;;;;;;;
317;AQ;;;;;;;
318;END1;;;;;;;
319;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
68;AQ;;;* Aangeleverde peildatum;;;;
69;AQ;CdSrtBasisuitkeringsrecht;UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
71;AQ;CdSrtBasisuitkeringsrecht waarde 06 IVA;* Aangeleverde peildatum;* BSN;;;;
72;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
73;AQ;"ClientSuwi/Uitkeringsverhouding/VrijstellingArbeidsplicht/CdVrijstellingArbeidsplichtBijst
ClientSuwi/Uitkeringsverhouding/VrijstellingArbeidsplicht/DatBVrijstellingarbeidsplicht
ClientSuwi/Uitkeringsverhouding/VrijstellingArbeidsplicht/CdRedenEVrijstArbeidsplichtBijst";Bijstandsregelingen-v0500;* Aangeleverde peildatum;;;;
74;END1;;;* Aangeleverde peildatum;;;;
304;END2;;;;;;;
75;AQ;;;;;;;
76;AQ;;UWVDossierInkomsten-v0700;;;;;
77;AQ;"ReIntegratievoorziening
* DatBRv
* DatERv
  Loonkostensubsidie
     * PercLoonwaardeTovWML";GSDDossierReintegratie-v0200;;;;;
78;AQ;"DOELGROEPENREGISTER
* BSN
* DatELdrRegistratieWbQa";;;;;;
79;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
80;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
81;AQ;"INKOMSTENPERIODE 
*CdSrtIkv

INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

ADMINISTRATIEVE EENHEID
* NaamAdministratieveEenheid
";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
82;AQ;;;;;;;
195;AQ;;;;;;;
;AQ;;;;;;;
272;END1;;;;;;;
273;END2;;;;;;;
343;AQ;;;;;;;
345;END1;;;;;;;
346;END2;;;;;;;
;AQ;;;;;;;
280;END1;;;;;;;
281;END1;;;;;;;
282;END1;;;;;;;
283;END1;;;;;;;
278;END2;;;;;;;
279;END1;;;;;;;
284;END1;;;;;;;
285;END1;;;;;;;
286;END1;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
